"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"72","0.333425","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=50898 Win=65280 Len=0","","0x010"
"73","0.337507","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x010"
"74","0.337563","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=52350 Win=65280 Len=0","","0x010"
"75","0.337884","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=52350 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x018"
"76","0.337937","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=53802 Win=65280 Len=0","","0x010"
"77","0.342473","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=53802 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x010"
"78","0.342473","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=55254 Ack=2526 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x018"
"79","0.342505","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=56706 Win=65280 Len=0","","0x010"
"80","0.346476","185.15.59.224","10.100.102.162","TCP","56","443  >  58383 [ACK] Seq=56706 Ack=3106 Win=42496 Len=0","","0x010"
"81","0.346476","185.15.59.224","10.100.102.162","TCP","56","443  >  58383 [ACK] Seq=56706 Ack=3354 Win=42496 Len=0","","0x010"
"82","0.355174","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=56706 Ack=3354 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x010"
"83","0.355174","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=58158 Ack=3354 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x018"
"84","0.355251","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=59610 Win=65280 Len=0","","0x010"
"85","0.357316","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=59610 Ack=3354 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x010"
"86","0.357316","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=61062 Ack=3354 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x018"
"87","0.357388","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=62514 Win=65280 Len=0","","0x010"
"88","0.361332","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=62514 Ack=3354 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x010"
"89","0.361332","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [PSH, ACK] Seq=63966 Ack=3354 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x018"
"90","0.361392","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=65418 Win=65280 Len=0","","0x010"
"91","0.365442","185.15.59.224","10.100.102.162","TCP","1506","443  >  58383 [ACK] Seq=65418 Ack=3354 Win=42496 Len=1452 [TCP PDU reassembled in 92]","","0x010"
"92","0.365442","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data, Application Data","","0x018"
"93","0.365508","10.100.102.162","185.15.59.224","TCP","54","58383  >  443 [ACK] Seq=3354 Ack=68322 Win=130816 Len=0","","0x010"
"94","0.368852","185.15.59.224","10.100.102.162","TLSv1.3","1506","Application Data","","0x010"
"95","0.368852","185.15.59.224","10.100.102.162","TLSv1.3","907","Application Data, Application Data","","0x018"
